2026/01/30 06:39:48 Authorizing with Application Default Credentials
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64049
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64051
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64053
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64055
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64057
2026/01/30 13:34:00 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:34:01 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64060
2026/01/30 13:34:01 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64059
2026/01/30 13:34:01 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:34:01 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:46:02 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:46:02 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:61598
2026/01/30 13:46:02 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:61600
2026/01/30 13:46:02 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:46:03 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:61606
2026/01/30 13:46:03 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:61607
2026/01/30 13:46:03 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:46:03 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 13:46:04 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:51902
2026/01/30 13:46:04 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
